--- Sheet: Cover & Instructions ---
RE-TC-00401,RE-US-004,"Happy Path - As an RE user, I want real-time bell + email/SMS notifi...","User logged in with correct role and entity via Kavach. Relevant record or master data exists. Services (notification, virus scan, SLA engine) available.","1. Navigate to appropriate view or edit screen.
2. Perform primary action (select status, fill structured fields, reassign, save draft, raise query, etc.).
3. Submit / Save & Proceed.
4. Verify status change, notifications, history entry, SLA timer, activity tracker update, and any downstream effects.",Valid record in correct starting status. Active users available for reassignment. Test complainant/RE with email + mobile. Supporting documents ready for upload.,Action succeeds. Correct next status or draft saved. Full immutable history created. Notifications triggered to relevant parties. SLA countdown and RE Activity Status updated in real time. No validation errors.,Positive
RE-TC-00402,RE-US-004,Negative - Unauthorized Role or Cross-Entity Access Attempt,"Logged in as role or entity that should not have permission (e.g., NO trying PNO bulk reassignment, user from Entity A trying to access Entity B record).","1. Login as unauthorized user/entity.
2. Attempt restricted action or navigate to cross-entity record.
3. Observe blocking behavior (button hidden, validation error, or access denied).
4. Check audit log for attempt.",Record belonging to different entity. Lower-privilege test user in same or different territory.,Action completely blocked. Clear message ('Insufficient permission' or 'Record not accessible to your entity'). No data leakage. Attempt logged with user ID and IP.,Negative
RE-TC-00403,RE-US-004,Edge - Missing Mandatory Structured Field / Invalid Date / Cap Breach / Concurrent Reassignment,"Record in state where structured form or reassignment is possible. One mandatory field left blank, invalid date entered, award amount exceeds cap, or multiple users attempt reassignment simultaneously.","1. Open edit or reassign popup.
2. Leave mandatory field blank or enter invalid value (past date, amount > cap, etc.).
3. Attempt submit.
4. Observe inline validation and final error.
5. Correct and re-submit to confirm recovery. For concurrent: simulate two PNOs reassigning same record at same time.",Award Implemented status with amount = 3000001. Past implementation date. Two PNOs attempting bulk reassignment of overlapping records simultaneously.,"Clear red highlighting + specific error (e.g., 'Implementation Date cannot be in past', 'Amount exceeds ₹30 Lakh consequential loss cap'). Submit blocked. Concurrent reassignments handled safely (one succeeds, other gets clear conflict message). After correction, succeeds.",Edge
RE-TC-00404,RE-US-004,Edge - SLA Breach + Weekend/Holiday + Config Change Mid-Clock,Record assigned just before configurable weekend/holiday period. Thresholds changed mid-SLA by Admin. Record reaches 15-day breach.,"1. Assign record near end of business day before holiday.
2. Change SLA threshold configuration.
3. Advance system date past 15 days without response.
4. Verify alerts, escalation, and color coding behave correctly.",Record assigned Friday 4pm. Config changed from 15 to 10 days mid-cycle. System date advanced 16 days.,SLA clock respects configured calendar (or explicit 'do not pause' rule). Alerts fire at correct new thresholds. Breach triggers proper escalation path. Color coding accurate. History shows config change event.,Edge
RE-TC-00501,RE-US-005,"Happy Path - As an RE Admin or PNO, I want a self-onboarding interfa...","User logged in with correct role and entity via Kavach. Relevant record or master data exists. Services (notification, virus scan, SLA engine) available.","1. Navigate to appropriate view or edit screen.
2. Perform primary action (select status, fill structured fields, reassign, save draft, raise query, etc.).
3. Submit / Save & Proceed.
4. Verify status change, notifications, history entry, SLA timer, activity tracker update, and any downstream effects.",Valid record in correct starting status. Active users available for reassignment. Test complainant/RE with email + mobile. Supporting documents ready for upload.,Action succeeds. Correct next status or draft saved. Full immutable history created. Notifications triggered to relevant parties. SLA countdown and RE Activity Status updated in real time. No validation errors.,Positive
RE-TC-00502,RE-US-005,Negative - Unauthorized Role or Cross-Entity Access Attempt,"Logged in as role or entity that should not have permission (e.g., NO trying PNO bulk reassignment, user from Entity A trying to access Entity B record).","1. Login as unauthorized user/entity.
2. Attempt restricted action or navigate to cross-entity record.
3. Observe blocking behavior (button hidden, validation error, or access denied).
4. Check audit log for attempt.",Record belonging to different entity. Lower-privilege test user in same or different territory.,Action completely blocked. Clear message ('Insufficient permission' or 'Record not accessible to your entity'). No data leakage. Attempt logged with user ID and IP.,Negative
RE-TC-00503,RE-US-005,Edge - Missing Mandatory Structured Field / Invalid Date / Cap Breach / Concurrent Reassignment,"Record in state where structured form or reassignment is possible. One mandatory field left blank, invalid date entered, award amount exceeds cap, or multiple users attempt reassignment simultaneously.","1. Open edit or reassign popup.
2. Leave mandatory field blank or enter invalid value (past date, amount > cap, etc.).
3. Attempt submit.
4. Observe inline validation and final error.
5. Correct and re-submit to confirm recovery. For concurrent: simulate two PNOs reassigning same record at same time.",Award Implemented status with amount = 3000001. Past implementation date. Two PNOs attempting bulk reassignment of overlapping records simultaneously.,"Clear red highlighting + specific error (e.g., 'Implementation Date cannot be in past', 'Amount exceeds ₹30 Lakh consequential loss cap'). Submit blocked. Concurrent reassignments handled safely (one succeeds, other gets clear conflict message). After correction, succeeds.",Edge
RE-TC-00504,RE-US-005,Edge - Large Attachment / Concurrent Users / Draft Recovery / Query Thread,System under load. Large file near 5MB limit. User has multiple drafts. Complex threaded query conversation exists.,"1. Upload 4.9MB valid file + attempt 5.1MB invalid.
2. Simulate 400 concurrent RE users performing actions.
3. Close browser mid-draft, reopen, recover draft.
4. Post multiple queries and replies; verify thread integrity and notifications.",4.9MB PDF + 5.1MB file. 400 concurrent test users. Draft with 2 pages of text. 5-query threaded conversation.,Valid file accepted; invalid rejected with clear message. All concurrent actions succeed without data loss or corruption. Draft recovers exactly. Thread displays chronologically with correct actors and timestamps. Notifications accurate.,Edge
RE-TC-00601,RE-US-006,"Happy Path - As an RE user, I want the Edit/Response screen to prese...","User logged in with correct role and entity via Kavach. Relevant record or master data exists. Services (notification, virus scan, SLA engine) available.","1. Navigate to appropriate view or edit screen.
2. Perform primary action (select status, fill structured fields, reassign, save draft, raise query, etc.).
3. Submit / Save & Proceed.
4. Verify status change, notifications, history entry, SLA timer, activity tracker update, and any downstream effects.",Valid record in correct starting status. Active users available for reassignment. Test complainant/RE with email + mobile. Supporting documents ready for upload.,Action succeeds. Correct next status or draft saved. Full immutable history created. Notifications triggered to relevant parties. SLA countdown and RE Activity Status updated in real time. No validation errors.,Positive
RE-TC-00602,RE-US-006,Negative - Unauthorized Role or Cross-Entity Access Attempt,"Logged in as role or entity that should not have permission (e.g., NO trying PNO bulk reassignment, user from Entity A trying to access Entity B record).","1. Login as unauthorized user/entity.
2. Attempt restricted action or navigate to cross-entity record.
3. Observe blocking behavior (button hidden, validation error, or access denied).
4. Check audit log for attempt.",Record belonging to different entity. Lower-privilege test user in same or different territory.,Action completely blocked. Clear message ('Insufficient permission' or 'Record not accessible to your entity'). No data leakage. Attempt logged with user ID and IP.,Negative
RE-TC-00603,RE-US-006,Edge - Missing Mandatory Structured Field / Invalid Date / Cap Breach / Concurrent Reassignment,"Record in state where structured form or reassignment is possible. One mandatory field left blank, invalid date entered, award amount exceeds cap, or multiple users attempt reassignment simultaneously.","1. Open edit or reassign popup.
2. Leave mandatory field blank or enter invalid value (past date, amount > cap, etc.).
3. Attempt submit.
4. Observe inline validation and final error.
5. Correct and re-submit to confirm recovery. For concurrent: simulate two PNOs reassigning same record at same time.",Award Implemented status with amount = 3000001. Past implementation date. Two PNOs attempting bulk reassignment of overlapping records simultaneously.,"Clear red highlighting + specific error (e.g., 'Implementation Date cannot be in past', 'Amount exceeds ₹30 Lakh consequential loss cap'). Submit blocked. Concurrent reassignments handled safely (one succeeds, other gets clear conflict message). After correction, succeeds.",Edge
RE-TC-00604,RE-US-006,Edge - Large Attachment / Concurrent Users / Draft Recovery / Query Thread,System under load. Large file near 5MB limit. User has multiple drafts. Complex threaded query conversation exists.,"1. Upload 4.9MB valid file + attempt 5.1MB invalid.
2. Simulate 400 concurrent RE users performing actions.
3. Close browser mid-draft, reopen, recover draft.
4. Post multiple queries and replies; verify thread integrity and notifications.",4.9MB PDF + 5.1MB file. 400 concurrent test users. Draft with 2 pages of text. 5-query threaded conversation.,Valid file accepted; invalid rejected with clear message. All concurrent actions succeed without data loss or corruption. Draft recovers exactly. Thread displays chronologically with correct actors and timestamps. Notifications accurate.,Edge
RE-TC-00701,RE-US-007,"Happy Path - As an RE user, I want a 'Save as Draft' button on the r...","User logged in with correct role and entity via Kavach. Relevant record or master data exists. Services (notification, virus scan, SLA engine) available.","1. Navigate to appropriate view or edit screen.
2. Perform primary action (select status, fill structured fields, reassign, save draft, raise query, etc.).
3. Submit / Save & Proceed.
4. Verify status change, notifications, history entry, SLA timer, activity tracker update, and any downstream effects.",Valid record in correct starting status. Active users available for reassignment. Test complainant/RE with email + mobile. Supporting documents ready for upload.,Action succeeds. Correct next status or draft saved. Full immutable history created. Notifications triggered to relevant parties. SLA countdown and RE Activity Status updated in real time. No validation errors.,Positive
RE-TC-00702,RE-US-007,Negative - Unauthorized Role or Cross-Entity Access Attempt,"Logged in as role or entity that should not have permission (e.g., NO trying PNO bulk reassignment, user from Entity A trying to access Entity B record).","1. Login as unauthorized user/entity.
2. Attempt restricted action or navigate to cross-entity record.
3. Observe blocking behavior (button hidden, validation error, or access denied).
4. Check audit log for attempt.",Record belonging to different entity. Lower-privilege test user in same or different territory.,Action completely blocked. Clear message ('Insufficient permission' or 'Record not accessible to your entity'). No data leakage. Attempt logged with user ID and IP.,Negative
RE-TC-00703,RE-US-007,Edge - Missing Mandatory Structured Field / Invalid Date / Cap Breach / Concurrent Reassignment,"Record in state where structured form or reassignment is possible. One mandatory field left blank, invalid date entered, award amount exceeds cap, or multiple users attempt reassignment simultaneously.","1. Open edit or reassign popup.
2. Leave mandatory field blank or enter invalid value (past date, amount > cap, etc.).
3. Attempt submit.
4. Observe inline validation and final error.
5. Correct and re-submit to confirm recovery. For concurrent: simulate two PNOs reassigning same record at same time.",Award Implemented status with amount = 3000001. Past implementation date. Two PNOs attempting bulk reassignment of overlapping records simultaneously.,"Clear red highlighting + specific error (e.g., 'Implementation Date cannot be in past', 'Amount exceeds ₹30 Lakh consequential loss cap'). Submit blocked. Concurrent reassignments handled safely (one succeeds, other gets clear conflict message). After correction, succeeds.",Edge
RE-TC-00704,RE-US-007,Edge - Large Attachment / Concurrent Users / Draft Recovery / Query Thread,System under load. Large file near 5MB limit. User has multiple drafts. Complex threaded query conversation exists.,"1. Upload 4.9MB valid file + attempt 5.1MB invalid.
2. Simulate 400 concurrent RE users performing actions.
3. Close browser mid-draft, reopen, recover draft.
4. Post multiple queries and replies; verify thread integrity and notifications.",4.9MB PDF + 5.1MB file. 400 concurrent test users. Draft with 2 pages of text. 5-query threaded conversation.,Valid file accepted; invalid rejected with clear message. All concurrent actions succeed without data loss or corruption. Draft recovers exactly. Thread displays chronologically with correct actors and timestamps. Notifications accurate.,Edge
RE-TC-00801,RE-US-008,"Happy Path - As an RE user, I want in-browser preview of all attache...","User logged in with correct role and entity via Kavach. Relevant record or master data exists. Services (notification, virus scan, SLA engine) available.","1. Navigate to appropriate view or edit screen.
2. Perform primary action (select status, fill structured fields, reassign, save draft, raise query, etc.).
3. Submit / Save & Proceed.
4. Verify status change, notifications, history entry, SLA timer, activity tracker update, and any downstream effects.",Valid record in correct starting status. Active users available for reassignment. Test complainant/RE with email + mobile. Supporting documents ready for upload.,Action succeeds. Correct next status or draft saved. Full immutable history created. Notifications triggered to relevant parties. SLA countdown and RE Activity Status updated in real time. No validation errors.,Positive
RE-TC-00802,RE-US-008,Negative - Unauthorized Role or Cross-Entity Access Attempt,"Logged in as role or entity that should not have permission (e.g., NO trying PNO bulk reassignment, user from Entity A trying to access Entity B record).","1. Login as unauthorized user/entity.
2. Attempt restricted action or navigate to cross-entity record.
3. Observe blocking behavior (button hidden, validation error, or access denied).
4. Check audit log for attempt.",Record belonging to different entity. Lower-privilege test user in same or different territory.,Action completely blocked. Clear message ('Insufficient permission' or 'Record not accessible to your entity'). No data leakage. Attempt logged with user ID and IP.,Negative
RE-TC-00803,RE-US-008,Edge - Missing Mandatory Structured Field / Invalid Date / Cap Breach / Concurrent Reassignment,"Record in state where structured form or reassignment is possible. One mandatory field left blank, invalid date entered, award amount exceeds cap, or multiple users attempt reassignment simultaneously.","1. Open edit or reassign popup.
2. Leave mandatory field blank or enter invalid value (past date, amount > cap, etc.).
3. Attempt submit.
4. Observe inline validation and final error.
5. Correct and re-submit to confirm recovery. For concurrent: simulate two PNOs reassigning same record at same time.",Award Implemented status with amount = 3000001. Past implementation date. Two PNOs attempting bulk reassignment of overlapping records simultaneously.,"Clear red highlighting + specific error (e.g., 'Implementation Date cannot be in past', 'Amount exceeds ₹30 Lakh consequential loss cap'). Submit blocked. Concurrent reassignments handled safely (one succeeds, other gets clear conflict message). After correction, succeeds.",Edge
RE-TC-00804,RE-US-008,Edge - Large Attachment / Concurrent Users / Draft Recovery / Query Thread,System under load. Large file near 5MB limit. User has multiple drafts. Complex threaded query conversation exists.,"1. Upload 4.9MB valid file + attempt 5.1MB invalid.
2. Simulate 400 concurrent RE users performing actions.
3. Close browser mid-draft, reopen, recover draft.
4. Post multiple queries and replies; verify thread integrity and notifications.",4.9MB PDF + 5.1MB file. 400 concurrent test users. Draft with 2 pages of text. 5-query threaded conversation.,Valid file accepted; invalid rejected with clear message. All concurrent actions succeed without data loss or corruption. Draft recovers exactly. Thread displays chronologically with correct actors and timestamps. Notifications accurate.,Edge
RE-TC-00901,RE-US-009,"Happy Path - As an RE user, I want a Delete option on erroneously up...","User logged in with correct role and entity via Kavach. Relevant record or master data exists. Services (notification, virus scan, SLA engine) available.","1. Navigate to appropriate view or edit screen.
2. Perform primary action (select status, fill structured fields, reassign, save draft, raise query, etc.).
3. Submit / Save & Proceed.
4. Verify status change, notifications, history entry, SLA timer, activity tracker update, and any downstream effects.",Valid record in correct starting status. Active users available for reassignment. Test complainant/RE with email + mobile. Supporting documents ready for upload.,Action succeeds. Correct next status or draft saved. Full immutable history created. Notifications triggered to relevant parties. SLA countdown and RE Activity Status updated in real time. No validation errors.,Positive
RE-TC-00902,RE-US-009,Negative - Unauthorized Role or Cross-Entity Access Attempt,"Logged in as role or entity that should not have permission (e.g., NO trying PNO bulk reassignment, user from Entity A trying to access Entity B record).","1. Login as unauthorized user/entity.
2. Attempt restricted action or navigate to cross-entity record.
3. Observe blocking behavior (button hidden, validation error, or access denied).
4. Check audit log for attempt.",Record belonging to different entity. Lower-privilege test user in same or different territory.,Action completely blocked. Clear message ('Insufficient permission' or 'Record not accessible to your entity'). No data leakage. Attempt logged with user ID and IP.,Negative
RE-TC-00903,RE-US-009,Edge - Missing Mandatory Structured Field / Invalid Date / Cap Breach / Concurrent Reassignment,"Record in state where structured form or reassignment is possible. One mandatory field left blank, invalid date entered, award amount exceeds cap, or multiple users attempt reassignment simultaneously.","1. Open edit or reassign popup.
2. Leave mandatory field blank or enter invalid value (past date, amount > cap, etc.).
3. Attempt submit.
4. Observe inline validation and final error.
5. Correct and re-submit to confirm recovery. For concurrent: simulate two PNOs reassigning same record at same time.",Award Implemented status with amount = 3000001. Past implementation date. Two PNOs attempting bulk reassignment of overlapping records simultaneously.,"Clear red highlighting + specific error (e.g., 'Implementation Date cannot be in past', 'Amount exceeds ₹30 Lakh consequential loss cap'). Submit blocked. Concurrent reassignments handled safely (one succeeds, other gets clear conflict message). After correction, succeeds.",Edge
RE-TC-00904,RE-US-009,Edge - Large Attachment / Concurrent Users / Draft Recovery / Query Thread,System under load. Large file near 5MB limit. User has multiple drafts. Complex threaded query conversation exists.,"1. Upload 4.9MB valid file + attempt 5.1MB invalid.
2. Simulate 400 concurrent RE users performing actions.
3. Close browser mid-draft, reopen, recover draft.
4. Post multiple queries and replies; verify thread integrity and notifications.",4.9MB PDF + 5.1MB file. 400 concurrent test users. Draft with 2 pages of text. 5-query threaded conversation.,Valid file accepted; invalid rejected with clear message. All concurrent actions succeed without data loss or corruption. Draft recovers exactly. Thread displays chronologically with correct actors and timestamps. Notifications accurate.,Edge
RE-TC-01001,RE-US-010,"Happy Path - As a PNO, I want to reassign single or multiple records...","User logged in with correct role and entity via Kavach. Relevant record or master data exists. Services (notification, virus scan, SLA engine) available.","1. Navigate to appropriate view or edit screen.
2. Perform primary action (select status, fill structured fields, reassign, save draft, raise query, etc.).
3. Submit / Save & Proceed.
4. Verify status change, notifications, history entry, SLA timer, activity tracker update, and any downstream effects.",Valid record in correct starting status. Active users available for reassignment. Test complainant/RE with email + mobile. Supporting documents ready for upload.,Action succeeds. Correct next status or draft saved. Full immutable history created. Notifications triggered to relevant parties. SLA countdown and RE Activity Status updated in real time. No validation errors.,Positive
RE-TC-01002,RE-US-010,Negative - Unauthorized Role or Cross-Entity Access Attempt,"Logged in as role or entity that should not have permission (e.g., NO trying PNO bulk reassignment, user from Entity A trying to access Entity B record).","1. Login as unauthorized user/entity.
2. Attempt restricted action or navigate to cross-entity record.
3. Observe blocking behavior (button hidden, validation error, or access denied).
4. Check audit log for attempt.",Record belonging to different entity. Lower-privilege test user in same or different territory.,Action completely blocked. Clear message ('Insufficient permission' or 'Record not accessible to your entity'). No data leakage. Attempt logged with user ID and IP.,Negative
RE-TC-01003,RE-US-010,Edge - Missing Mandatory Structured Field / Invalid Date / Cap Breach / Concurrent Reassignment,"Record in state where structured form or reassignment is possible. One mandatory field left blank, invalid date entered, award amount exceeds cap, or multiple users attempt reassignment simultaneously.","1. Open edit or reassign popup.
2. Leave mandatory field blank or enter invalid value (past date, amount > cap, etc.).
3. Attempt submit.
4. Observe inline validation and final error.
5. Correct and re-submit to confirm recovery. For concurrent: simulate two PNOs reassigning same record at same time.",Award Implemented status with amount = 3000001. Past implementation date. Two PNOs attempting bulk reassignment of overlapping records simultaneously.,"Clear red highlighting + specific error (e.g., 'Implementation Date cannot be in past', 'Amount exceeds ₹30 Lakh consequential loss cap'). Submit blocked. Concurrent reassignments handled safely (one succeeds, other gets clear conflict message). After correction, succeeds.",Edge
RE-TC-01004,RE-US-010,Edge - Large Attachment / Concurrent Users / Draft Recovery / Query Thread,System under load. Large file near 5MB limit. User has multiple drafts. Complex threaded query conversation exists.,"1. Upload 4.9MB valid file + attempt 5.1MB invalid.
2. Simulate 400 concurrent RE users performing actions.
3. Close browser mid-draft, reopen, recover draft.
4. Post multiple queries and replies; verify thread integrity and notifications.",4.9MB PDF + 5.1MB file. 400 concurrent test users. Draft with 2 pages of text. 5-query threaded conversation.,Valid file accepted; invalid rejected with clear message. All concurrent actions succeed without data loss or corruption. Draft recovers exactly. Thread displays chronologically with correct actors and timestamps. Notifications accurate.,Edge
RE-TC-01101,RE-US-011,"Happy Path - As an NO or Contact Person, I want to raise a structure...","User logged in with correct role and entity via Kavach. Relevant record or master data exists. Services (notification, virus scan, SLA engine) available.","1. Navigate to appropriate view or edit screen.
2. Perform primary action (select status, fill structured fields, reassign, save draft, raise query, etc.).
3. Submit / Save & Proceed.
4. Verify status change, notifications, history entry, SLA timer, activity tracker update, and any downstream effects.",Valid record in correct starting status. Active users available for reassignment. Test complainant/RE with email + mobile. Supporting documents ready for upload.,Action succeeds. Correct next status or draft saved. Full immutable history created. Notifications triggered to relevant parties. SLA countdown and RE Activity Status updated in real time. No validation errors.,Positive
RE-TC-01102,RE-US-011,Negative - Unauthorized Role or Cross-Entity Access Attempt,"Logged in as role or entity that should not have permission (e.g., NO trying PNO bulk reassignment, user from Entity A trying to access Entity B record).","1. Login as unauthorized user/entity.
2. Attempt restricted action or navigate to cross-entity record.
3. Observe blocking behavior (button hidden, validation error, or access denied).
4. Check audit log for attempt.",Record belonging to different entity. Lower-privilege test user in same or different territory.,Action completely blocked. Clear message ('Insufficient permission' or 'Record not accessible to your entity'). No data leakage. Attempt logged with user ID and IP.,Negative
RE-TC-01103,RE-US-011,Edge - Missing Mandatory Structured Field / Invalid Date / Cap Breach / Concurrent Reassignment,"Record in state where structured form or reassignment is possible. One mandatory field left blank, invalid date entered, award amount exceeds cap, or multiple users attempt reassignment simultaneously.","1. Open edit or reassign popup.
2. Leave mandatory field blank or enter invalid value (past date, amount > cap, etc.).
3. Attempt submit.
4. Observe inline validation and final error.
5. Correct and re-submit to confirm recovery. For concurrent: simulate two PNOs reassigning same record at same time.",Award Implemented status with amount = 3000001. Past implementation date. Two PNOs attempting bulk reassignment of overlapping records simultaneously.,"Clear red highlighting + specific error (e.g., 'Implementation Date cannot be in past', 'Amount exceeds ₹30 Lakh consequential loss cap'). Submit blocked. Concurrent reassignments handled safely (one succeeds, other gets clear conflict message). After correction, succeeds.",Edge
RE-TC-01104,RE-US-011,Edge - Large Attachment / Concurrent Users / Draft Recovery / Query Thread,System under load. Large file near 5MB limit. User has multiple drafts. Complex threaded query conversation exists.,"1. Upload 4.9MB valid file + attempt 5.1MB invalid.
2. Simulate 400 concurrent RE users performing actions.
3. Close browser mid-draft, reopen, recover draft.
4. Post multiple queries and replies; verify thread integrity and notifications.",4.9MB PDF + 5.1MB file. 400 concurrent test users. Draft with 2 pages of text. 5-query threaded conversation.,Valid file accepted; invalid rejected with clear message. All concurrent actions succeed without data loss or corruption. Draft recovers exactly. Thread displays chronologically with correct actors and timestamps. Notifications accurate.,Edge
RE-TC-01201,RE-US-012,"Happy Path - As a Contact Person, I want to reassign a record to ano...","User logged in with correct role and entity via Kavach. Relevant record or master data exists. Services (notification, virus scan, SLA engine) available.","1. Navigate to appropriate view or edit screen.
2. Perform primary action (select status, fill structured fields, reassign, save draft, raise query, etc.).
3. Submit / Save & Proceed.
4. Verify status change, notifications, history entry, SLA timer, activity tracker update, and any downstream effects.",Valid record in correct starting status. Active users available for reassignment. Test complainant/RE with email + mobile. Supporting documents ready for upload.,Action succeeds. Correct next status or draft saved. Full immutable history created. Notifications triggered to relevant parties. SLA countdown and RE Activity Status updated in real time. No validation errors.,Positive
RE-TC-01202,RE-US-012,Negative - Unauthorized Role or Cross-Entity Access Attempt,"Logged in as role or entity that should not have permission (e.g., NO trying PNO bulk reassignment, user from Entity A trying to access Entity B record).","1. Login as unauthorized user/entity.
2. Attempt restricted action or navigate to cross-entity record.
3. Observe blocking behavior (button hidden, validation error, or access denied).
4. Check audit log for attempt.",Record belonging to different entity. Lower-privilege test user in same or different territory.,Action completely blocked. Clear message ('Insufficient permission' or 'Record not accessible to your entity'). No data leakage. Attempt logged with user ID and IP.,Negative
RE-TC-01203,RE-US-012,Edge - Missing Mandatory Structured Field / Invalid Date / Cap Breach / Concurrent Reassignment,"Record in state where structured form or reassignment is possible. One mandatory field left blank, invalid date entered, award amount exceeds cap, or multiple users attempt reassignment simultaneously.","1. Open edit or reassign popup.
2. Leave mandatory field blank or enter invalid value (past date, amount > cap, etc.).
3. Attempt submit.
4. Observe inline validation and final error.
5. Correct and re-submit to confirm recovery. For concurrent: simulate two PNOs reassigning same record at same time.",Award Implemented status with amount = 3000001. Past implementation date. Two PNOs attempting bulk reassignment of overlapping records simultaneously.,"Clear red highlighting + specific error (e.g., 'Implementation Date cannot be in past', 'Amount exceeds ₹30 Lakh consequential loss cap'). Submit blocked. Concurrent reassignments handled safely (one succeeds, other gets clear conflict message). After correction, succeeds.",Edge
RE-TC-01204,RE-US-012,Edge - Large Attachment / Concurrent Users / Draft Recovery / Query Thread,System under load. Large file near 5MB limit. User has multiple drafts. Complex threaded query conversation exists.,"1. Upload 4.9MB valid file + attempt 5.1MB invalid.
2. Simulate 400 concurrent RE users performing actions.
3. Close browser mid-draft, reopen, recover draft.
4. Post multiple queries and replies; verify thread integrity and notifications.",4.9MB PDF + 5.1MB file. 400 concurrent test users. Draft with 2 pages of text. 5-query threaded conversation.,Valid file accepted; invalid rejected with clear message. All concurrent actions succeed without data loss or corruption. Draft recovers exactly. Thread displays chronologically with correct actors and timestamps. Notifications accurate.,Edge
RE-TC-01301,RE-US-013,"Happy Path - As a PNO, I want pending reassignment requests from my ...","User logged in with correct role and entity via Kavach. Relevant record or master data exists. Services (notification, virus scan, SLA engine) available.","1. Navigate to appropriate view or edit screen.
2. Perform primary action (select status, fill structured fields, reassign, save draft, raise query, etc.).
3. Submit / Save & Proceed.
4. Verify status change, notifications, history entry, SLA timer, activity tracker update, and any downstream effects.",Valid record in correct starting status. Active users available for reassignment. Test complainant/RE with email + mobile. Supporting documents ready for upload.,Action succeeds. Correct next status or draft saved. Full immutable history created. Notifications triggered to relevant parties. SLA countdown and RE Activity Status updated in real time. No validation errors.,Positive
RE-TC-01302,RE-US-013,Negative - Unauthorized Role or Cross-Entity Access Attempt,"Logged in as role or entity that should not have permission (e.g., NO trying PNO bulk reassignment, user from Entity A trying to access Entity B record).","1. Login as unauthorized user/entity.
2. Attempt restricted action or navigate to cross-entity record.
3. Observe blocking behavior (button hidden, validation error, or access denied).
4. Check audit log for attempt.",Record belonging to different entity. Lower-privilege test user in same or different territory.,Action completely blocked. Clear message ('Insufficient permission' or 'Record not accessible to your entity'). No data leakage. Attempt logged with user ID and IP.,Negative
RE-TC-01303,RE-US-013,Edge - Missing Mandatory Structured Field / Invalid Date / Cap Breach / Concurrent Reassignment,"Record in state where structured form or reassignment is possible. One mandatory field left blank, invalid date entered, award amount exceeds cap, or multiple users attempt reassignment simultaneously.","1. Open edit or reassign popup.
2. Leave mandatory field blank or enter invalid value (past date, amount > cap, etc.).
3. Attempt submit.
4. Observe inline validation and final error.
5. Correct and re-submit to confirm recovery. For concurrent: simulate two PNOs reassigning same record at same time.",Award Implemented status with amount = 3000001. Past implementation date. Two PNOs attempting bulk reassignment of overlapping records simultaneously.,"Clear red highlighting + specific error (e.g., 'Implementation Date cannot be in past', 'Amount exceeds ₹30 Lakh consequential loss cap'). Submit blocked. Concurrent reassignments handled safely (one succeeds, other gets clear conflict message). After correction, succeeds.",Edge
RE-TC-01304,RE-US-013,Edge - Large Attachment / Concurrent Users / Draft Recovery / Query Thread,System under load. Large file near 5MB limit. User has multiple drafts. Complex threaded query conversation exists.,"1. Upload 4.9MB valid file + attempt 5.1MB invalid.
2. Simulate 400 concurrent RE users performing actions.
3. Close browser mid-draft, reopen, recover draft.
4. Post multiple queries and replies; verify thread integrity and notifications.",4.9MB PDF + 5.1MB file. 400 concurrent test users. Draft with 2 pages of text. 5-query threaded conversation.,Valid file accepted; invalid rejected with clear message. All concurrent actions succeed without data loss or corruption. Draft recovers exactly. Thread displays chronologically with correct actors and timestamps. Notifications accurate.,Edge
RE-TC-01401,RE-US-014,"Happy Path - As a PNO or RE Admin, I want to see entity-wide or regi...","User logged in with correct role and entity via Kavach. Relevant record or master data exists. Services (notification, virus scan, SLA engine) available.","1. Navigate to appropriate view or edit screen.
2. Perform primary action (select status, fill structured fields, reassign, save draft, raise query, etc.).
3. Submit / Save & Proceed.
4. Verify status change, notifications, history entry, SLA timer, activity tracker update, and any downstream effects.",Valid record in correct starting status. Active users available for reassignment. Test complainant/RE with email + mobile. Supporting documents ready for upload.,Action succeeds. Correct next status or draft saved. Full immutable history created. Notifications triggered to relevant parties. SLA countdown and RE Activity Status updated in real time. No validation errors.,Positive
RE-TC-01402,RE-US-014,Negative - Unauthorized Role or Cross-Entity Access Attempt,"Logged in as role or entity that should not have permission (e.g., NO trying PNO bulk reassignment, user from Entity A trying to access Entity B record).","1. Login as unauthorized user/entity.
2. Attempt restricted action or navigate to cross-entity record.
3. Observe blocking behavior (button hidden, validation error, or access denied).
4. Check audit log for attempt.",Record belonging to different entity. Lower-privilege test user in same or different territory.,Action completely blocked. Clear message ('Insufficient permission' or 'Record not accessible to your entity'). No data leakage. Attempt logged with user ID and IP.,Negative
